appversion,devicetype,mobile_brand,mobile_model,systemversion,mobile_brand,devicename,lable,pageno,eventtype,prepageno,session_id,applaunchtime,session_starttime,page_starttime,page_endtime,page_duration,actiontime,time,href,entries
8.08,Android,samsung,SM-G9550,Android 9,samsung,Galaxy S8+,CH5005,P02w,按钮点击,P70,53c8c2db03fa76a07eb44b87e2069a20,1647444122962,1647444124000,4070880000000,4070880000000,0,1647444381000,1647444372412,mockUrl/eScore.html#/index,"[{""FCP"":""1244.000""},{""TTFB"":""3.500""}]"
8.10,iOS,iPhone,iPhone XR,15.3.1,iPhone,Yisu,CH5005,P01441,按钮点击,P80,45868447cdb454b5f76dff3dfc155e2f,1647391796173,1647391797000,4070880000000,4070880000000,0,1647391808000,1647304820389,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""969.000""}]"
8.09,iOS,iPhone,iPhone 12,14.7.1,iPhone,iPhone,CH5005,P02w,按钮点击,P70,0af93306d2d84a25f201aac22018a2fe,1647400371782,1647400376000,4070880000000,4070880000000,0,1647400665000,1647400420905,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""248.000""}]"
8.10,iOS,iPhone,iPhone 11,13.7,iPhone,严小健的iPhone,CH5005,P02w,按钮点击,P70,566f1c59776077404fc7d6b2e5945f77,1647416661375,1647416662000,4070880000000,4070880000000,0,1647416684000,1647416680525,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 12,15.3.1,iPhone,iPhone 12,CH5005,P02w,按钮点击,P70,367c1c3ba6d877aeadfe45e6d8702529,1647389414525,1647418151000,4070880000000,4070880000000,0,1647418225000,1647418221954,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""6200.000""}]"
8.10,iOS,iPhone,iPhone 11,14.4,iPhone,兰兰的iPhone,CH5005,P02w,按钮点击,P70,d63341e38c9495a953317abf0e21f671,1647413838346,1647419850000,4070880000000,4070880000000,0,1647419868000,1647419859776,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 8,13.6,iPhone,iPhone (3),CH5005,P02w,按钮点击,P70,5123d45d7649fc36f82baaf6088dd33f,1647404193444,1647404195000,4070880000000,4070880000000,0,1647404206000,1647404201909,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.07,Android,HONOR,HRY-AL00,Android 10,HONOR,Honor 10 Lite,CH5005,P02w,按钮点击,P70,bba1aa38777065fa161bab00217ee6b1,1647413992711,1647415984000,4070880000000,4070880000000,0,1647416014000,1647416009332,mockUrl/eScore.html#/index,"[{""FCP"":""1828.800""},{""CLS"":""0.015""},{""LCP"":""3778.000""},{""TTFB"":""4.000""}]"
8.10,iOS,iPhone,iPhone 11,15.3.1,iPhone,涛哥的手机 (2),CH5005,P02w,按钮点击,P70,b682da7ff971637d85c33a7466933ee6,1647424566324,1647425057000,4070880000000,4070880000000,0,1647425097000,1647425095078,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""1422.000""}]"
8.07,Android,vivo,vivo X9s,Android 8.1.0,vivo,vivo X9s,CH5005,P01441,按钮点击,P80,b5699f8f51812e14b27d9f3e99ddf0a7,1647429382583,1647429383000,4070880000000,4070880000000,0,1647429782000,1647322779234,mockUrl/eScore.html#/index,"[{""TTFB"":""10.250""}]"
7.17,Android,OPPO,PEPM00,Android 11,OPPO,OPPO Reno6 Pro 5G,CH5005,P02w,按钮点击,P70,058d930628c5db46c9b861c541e1e821,1647390917106,1647390919000,4070880000000,4070880000000,0,1647390973000,1647356621136,mockUrl/eScore.html#/index,"[{""FCP"":""185.800""},{""TTFB"":""3.300""},{""CLS"":""0.015""},{""LCP"":""570.700""}]"
7.17,Android,OPPO,PEPM00,Android 11,OPPO,OPPO Reno6 Pro 5G,CH5005,P02w,按钮点击,P70,058d930628c5db46c9b861c541e1e821,1647390917106,1647390919000,4070880000000,4070880000000,0,1647390978000,1647390972922,mockUrl/eScore.html#/index,"[{""FCP"":""815.000""},{""TTFB"":""3.600""},{""CLS"":""0.000""},{""LCP"":""989.600""}]"
7.17,Android,OPPO,PEPM00,Android 11,OPPO,OPPO Reno6 Pro 5G,CH5005,P02w,按钮点击,P70,058d930628c5db46c9b861c541e1e821,1647390917106,1647390919000,4070880000000,4070880000000,0,1647390978000,1647390972922,mockUrl/eScore.html#/index,"[{""FCP"":""815.000""},{""TTFB"":""3.600""},{""CLS"":""0.000""},{""LCP"":""989.600""}]"
7.17,Android,OPPO,PEPM00,Android 11,OPPO,OPPO Reno6 Pro 5G,CH5005,P02w,按钮点击,P70,a8aee3c59ea76372a47085ea81955a09,1647414075611,1647414076000,4070880000000,4070880000000,0,1647414099000,1647414082678,mockUrl/eScore.html#/index,"[{""FCP"":""503.000""},{""TTFB"":""1.900""},{""CLS"":""0.000""},{""LCP"":""770.000""}]"
7.17,Android,OPPO,PEPM00,Android 11,OPPO,OPPO Reno6 Pro 5G,CH5005,P02w,按钮点击,P70,a0aee810bb5752992b371039f6b6cc32,1647417063222,1647417063000,4070880000000,4070880000000,0,1647417079000,1647417070152,mockUrl/eScore.html#/index,"[{""FCP"":""495.800""},{""TTFB"":""2.000""},{""CLS"":""0.066""},{""LCP"":""1447.400""}]"
7.17,Android,OPPO,PEPM00,Android 11,OPPO,OPPO Reno6 Pro 5G,CH5005,P02w,按钮点击,P70,611c15232620df59946fd62261def454,1647418842706,1647418843000,4070880000000,4070880000000,0,1647418849000,1647417079621,mockUrl/eScore.html#/index,"[{""FCP"":""130.900""},{""TTFB"":""1.700""}]"
7.17,Android,OPPO,PEPM00,Android 11,OPPO,OPPO Reno6 Pro 5G,CH5005,P02w,按钮点击,P70,611c15232620df59946fd62261def454,1647418842706,1647418843000,4070880000000,4070880000000,0,1647418857000,1647418848939,mockUrl/eScore.html#/index,"[{""FCP"":""518.400""},{""TTFB"":""2.000""},{""CLS"":""0.004""},{""LCP"":""1584.600""}]"
7.17,Android,OPPO,PEPM00,Android 11,OPPO,OPPO Reno6 Pro 5G,CH5005,P02w,按钮点击,P70,4c041d37669a1378f05c18e41227e5a3,1647420515946,1647420516000,4070880000000,4070880000000,0,1647420522000,1647418856953,mockUrl/eScore.html#/index,"[{""FCP"":""137.800""},{""TTFB"":""19.800""}]"
7.17,Android,OPPO,PEPM00,Android 11,OPPO,OPPO Reno6 Pro 5G,CH5005,P02w,按钮点击,P70,a0aede0971b62f32daa0e606a82c6288,1647431689257,1647431689000,4070880000000,4070880000000,0,1647431696000,1647420521972,mockUrl/eScore.html#/index,"[{""FCP"":""548.200""},{""TTFB"":""2.100""},{""CLS"":""0.004""},{""LCP"":""1601.900""}]"
7.17,Android,OPPO,PEPM00,Android 11,OPPO,OPPO Reno6 Pro 5G,CH5005,P02w,按钮点击,P70,a0aede0971b62f32daa0e606a82c6288,1647431689257,1647431689000,4070880000000,4070880000000,0,1647431701000,1647431696727,mockUrl/eScore.html#/index,"[{""FCP"":""625.200""},{""TTFB"":""1.600""},{""CLS"":""0.000""},{""LCP"":""789.800""}]"
7.17,Android,OPPO,PEPM00,Android 11,OPPO,OPPO Reno6 Pro 5G,CH5005,P02w,按钮点击,P70,95ab4ca6d63d51c432e5148b3c1ed3d7,1647431783624,1647431784000,4070880000000,4070880000000,0,1647431791000,1647431701585,mockUrl/eScore.html#/index,"[{""FCP"":""158.300""},{""TTFB"":""3.500""},{""CLS"":""0.013""},{""LCP"":""579.500""}]"
7.18,Android,360,1809-A01,Android 8.1.0,360,360 N7 Pro,CH5005,P02w,按钮点击,P70,9a0f3b47846e4912356c052ef421cae8,1647431886884,1647431888000,4070880000000,4070880000000,0,1647431910000,1647431901968,mockUrl/eScore.html#/index,"[{""TTFB"":""7.730""}]"
8.10,iOS,iPhone,iPhone 13,15.3.1,iPhone,iPhone (10),CH5005,P02w,按钮点击,P70,0012319ad7c33af2e66ff0698660b77b,1647349259203,1647386553000,4070880000000,4070880000000,0,1647386562000,1647386558646,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""1337.000""}]"
8.10,iOS,iPhone,iPhone 12,14.2,iPhone,iPhone,CH5005,P02w,按钮点击,P70,712526d5e4792eb4ef37f2cf888c5f2c,1647390220100,1647391453000,4070880000000,4070880000000,0,1647391540000,1647391525742,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
