appversion,devicetype,mobile_brand,mobile_model,systemversion,mobile_brand,devicename,lable,pageno,eventtype,prepageno,session_id,applaunchtime,session_starttime,page_starttime,page_endtime,page_duration,actiontime,time,href,entries
8.10,iOS,iPhone,iPhone 11,13.6,iPhone,iPhone (41),CH5005,P6097,按钮点击,P6306,96a607eb8878954a6d6a9120425119b2,1647229006763,1647229009000,4070880000000,4070880000000,0,1647229012000,1647205312407,mockUrl/anniversary.html#/anniversary,"[{""TTFB"":""0.000""}]"
7.17,Android,vivo,vivo X9Plus,Android 7.1.2,vivo,vivo X9Plus,CH5005,P6097,按钮点击,P6306,1932ba3edff33419515b94c357fe46fe,1647242560686,1647242562000,4070880000000,4070880000000,0,1647242585000,1647207951097,mockUrl/anniversary.html#/anniversary,"[{""TTFB"":""6.000""}]"
8.08,Android,HUAWEI,SEA-AL10,Android 10,HUAWEI,nova 5 Pro,CH5005,P6097,按钮点击,P6306,d8167bbb75cc2f63b1daa20eef24a929,1647257319946,1647257574000,4070880000000,4070880000000,0,1647257614000,1647216145787,mockUrl/eScore.html#/index,"[{""FCP"":""721.800""},{""TTFB"":""2.000""},{""CLS"":""0.039""},{""LCP"":""1471.200""}]"
8.08,Android,Xiaomi,MI 9,Android 10,Xiaomi,1180898872的MI 9,CH5005,P02w,按钮点击,P70,1f83b8527798e21796d2a4a32406be96,1647264614447,1647264888000,4070880000000,4070880000000,0,1647264905000,1647264900758,mockUrl/eScore.html#/index,"[{""FCP"":""689.600""},{""TTFB"":""12.600""},{""CLS"":""0.001""},{""LCP"":""1114.800""}]"
8.10,iOS,iPhone,iPhone XR,15.1,iPhone,iPhone (2),CH5005,P02w,按钮点击,P70,001c6f1fb26ecb269853a09e05d3f305,1647219768809,1647219882000,4070880000000,4070880000000,0,1647219901000,1647219897071,mockUrl/eScore.html#/index,"[{""FCP"":""638.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone XR,15.1,iPhone,iPhone (2),CH5005,P02w,按钮点击,P70,17b9c47c17379bb253067619c69b882d,1647219768809,1647220031000,4070880000000,4070880000000,0,1647220033000,1647219901548,mockUrl/eScore.html#/index,"[{""FCP"":""188.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone XR,15.1,iPhone,iPhone (2),CH5005,P02w,按钮点击,P70,3a5739cdf8929aa54c5ad0efb5fa244d,1647251478335,1647251480000,4070880000000,4070880000000,0,1647251497000,1647251492885,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""259.000""}]"
8.10,iOS,iPhone,iPhone X,14.8.1,iPhone,iPhone,CH5005,P02w,按钮点击,P70,810d955ca46c0205cc5a9f5b0d46e35e,1647218517688,1647218519000,4070880000000,4070880000000,0,1647218546000,1647218540884,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""552.000""}]"
8.08,iOS,iPhone,iPhone 11,15.3.1,iPhone,焦国建的 iPhone,CH5005,P6097,按钮点击,P6306,0bce43499a098be61037575a41c2613b,1647214095335,1647214096000,4070880000000,4070880000000,0,1647214104000,1647146065902,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""582.000""}]"
8.08,Android,vivo,V1932A,Android 10,vivo,vivo S5,CH5005,�,按钮点击,null,a4c4cc4d82ef4bc5c400ccca6bd793c4,1647222828038,1647222829000,4070880000000,4070880000000,0,1647222870000,1647222867560,mockUrl/eScore.html#/index,"[{""FCP"":""1288.800""},{""TTFB"":""3.300""},{""LCP"":""1594.800""},{""FID"":""51.100""},{""CLS"":""0.001""}]"
