appversion,devicetype,mobile_brand,mobile_model,systemversion,mobile_brand,devicename,lable,pageno,eventtype,prepageno,session_id,applaunchtime,session_starttime,page_starttime,page_endtime,page_duration,actiontime,time,href,entries
8.082,Android,HUAWEI,GLK-AL00,Android 10,HUAWEI,dw19,CH5005,P02w,按钮点击,P70,69b7246b03659a117a4608c7cb98e36e,1647162550283,1647162551000,4070880000000,4070880000000,0,1647164183000,1647164177657,mockUrl/eScore.html#/index,"[{""FCP"":""1039.000""},{""TTFB"":""3.400""},{""CLS"":""0.033""},{""LCP"":""1784.600""}]"
8.10,iOS,iPhone,iPhone 12 Pro,15.3,iPhone,iPhone12pro,CH5005,P02w,按钮点击,P70,61b046eb1a3b6a14a74f184bdd7eccc5,1647164390132,1647164391000,4070880000000,4070880000000,0,1647164408000,1647164404728,mockUrl/eScore.html#/index,"[{""FCP"":""499.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 7 Plus,13.1.3,iPhone,iPhone (2),CH5005,P00590,按钮点击,P60,21483036ef0926289db0b4c7c4fee9b0,1647165875380,1647179369000,4070880000000,4070880000000,0,1647179372000,1647176013018,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 12 Pro,14.7.1,iPhone,iPhone,CH5005,P00590,按钮点击,P60,c51c9d8256f3f28af5fa1ca37213d822,1647179036913,1647179037000,4070880000000,4070880000000,0,1647179194000,1647179141540,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""826.000""}]"
8.10,iOS,iPhone,iPhone 13,15.3.1,iPhone,iPhone (3),CH5005,P02w,按钮点击,P70,26b22840686b33b01081420efba4fb4b,1647087823103,1647113996000,4070880000000,4070880000000,0,1647114010000,1647114005911,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""461.000""}]"
8.10,iOS,iPhone,iPhone 13,15.3.1,iPhone,iPhone 13,CH5005,P02w,按钮点击,P70,389285b8603c06c2d48c9b1afba60d88,1647130252670,1647130253000,4070880000000,4070880000000,0,1647130266000,1647130258586,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""404.000""}]"
8.10,iOS,iPhone,iPhone 8 Plus,13.6,iPhone,Xiao肆ｅｒ,CH5005,P02w,按钮点击,P70,32008af090dc4818b3d505eb9d0796b6,1647127747219,1647127748000,4070880000000,4070880000000,0,1647127758000,1647127753894,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 12 Pro,15.3.1,iPhone,iPhone,CH5005,P02w,按钮点击,P70,4cd5dc30ebba72a4d5febd335f308b90,1647151770107,1647153975000,4070880000000,4070880000000,0,1647154012000,1647154008322,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""508.000""}]"
8.082,Android,HUAWEI,GLK-AL00,Android 10,HUAWEI,dw19,CH5005,�,按钮点击,null,20b96ab93793f1a30a9ef2973f24c7a1,1647160656983,1647160658000,4070880000000,4070880000000,0,1647160890000,1647160887253,mockUrl/eScore.html#/index,"[{""FCP"":""1457.600""},{""TTFB"":""3.100""},{""LCP"":""1742.199""},{""FID"":""72.700""},{""CLS"":""0.001""}]"
8.082,Android,HUAWEI,GLK-AL00,Android 10,HUAWEI,dw19,CH5005,�,按钮点击,null,20b96ab93793f1a30a9ef2973f24c7a1,1647160656983,1647160658000,4070880000000,4070880000000,0,1647160908000,1647160900254,mockUrl/eScore.html#/index,"[{""FCP"":""405.300""},{""TTFB"":""2.600""},{""LCP"":""1260.600""},{""FID"":""77.500""},{""CLS"":""0.099""}]"
8.082,Android,HUAWEI,GLK-AL00,Android 10,HUAWEI,dw19,CH5005,�,按钮点击,null,69b7246b03659a117a4608c7cb98e36e,1647162550283,1647162551000,4070880000000,4070880000000,0,1647164186000,1647164183007,mockUrl/eScore.html#/index,"[{""FCP"":""298.900""},{""TTFB"":""3.300""},{""LCP"":""962.499""},{""FID"":""106.900""},{""CLS"":""0.023""}]"
