appversion,devicetype,mobile_brand,mobile_model,systemversion,mobile_brand,devicename,lable,pageno,eventtype,prepageno,session_id,applaunchtime,session_starttime,page_starttime,page_endtime,page_duration,actiontime,time,href,entries
8.10,iOS,iPhone,iPhone XS Max China,14.5.1,iPhone,iPhone,CH5005,P00903,按钮点击,P6304,5d85ef7848ed3ea06acea5b22c2cf7bf,1647522327199,1647550835000,4070880000000,4070880000000,0,1647550850000,1647550844818,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""1154.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 12,15.3.1,iPhone,iPhone 12,CH5005,P01764,按钮点击,P6304,39470d034893ebbf884c9d97b93e9c68,1647513998620,1647532988000,4070880000000,4070880000000,0,1647533014000,1647501865675,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""759.000""}]"
8.10,iOS,iPhone,iPhone XS Max China,15.3.1,iPhone,我的iphone18,CH5005,P00903,按钮点击,P6304,98969297acda7d9c5c95fcd6995ed334,1647524165658,1647555094000,4070880000000,4070880000000,0,1647555106000,1647555102798,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""857.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 12,15.3.1,iPhone,媛媛,CH5005,P00903,按钮点击,P6304,a4d8e071c595b3129be9e3af56628477,1647517211598,1647558993000,4070880000000,4070880000000,0,1647559051000,1647559047593,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""885.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 12,15.3.1,iPhone,媛媛,CH5005,P00903,按钮点击,P6304,ed48ebd66ffa2e475bdb9407b4e600af,1647517211598,1647559230000,4070880000000,4070880000000,0,1647559414000,1647559051250,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""112.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 13,15.0,iPhone,iPhone 13,CH5005,P00903,按钮点击,P6304,d9b4f2e5a652104b3646e4c5e8583240,1647512308866,1647557927000,4070880000000,4070880000000,0,1647557952000,1647557948963,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""1031.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone XR,13.6,iPhone,iPhoneXR,CH5005,P00903,按钮点击,P6304,9a3f47a04dc15bdb6cb2cb588c7fbde0,1647555921030,1647555922000,4070880000000,4070880000000,0,1647556015000,1647556008179,mockUrl/anniversary.html#/anniversary,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone X,14.8.1,iPhone,姚芳的 iPhone,CH5005,P00903,按钮点击,P6304,2cce8d50d7c7f5a8b1a8c2417eab0d8a,1647501271515,1647558557000,4070880000000,4070880000000,0,1647558572000,1647558565533,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""1093.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone XR,14.6,iPhone,iPhone (59),CH5005,P00903,按钮点击,P6304,d0ebe1f7bf1128e7ebac6bc775c548fe,1647558055684,1647558057000,4070880000000,4070880000000,0,1647558070000,1647558064346,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""1226.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone X,15.2.1,iPhone,勤,CH5005,P01764,按钮点击,P6304,e6cd5e3059b72bdf0975d5a26542ee68,1647526239347,1647564485000,4070880000000,4070880000000,0,1647564488000,1647557948749,mockUrl/eScore.html#/index,"[{""FCP"":""544.000""},{""TTFB"":""0.000""}]"
