appversion,devicetype,mobile_brand,mobile_model,systemversion,mobile_brand,devicename,lable,pageno,eventtype,prepageno,session_id,applaunchtime,session_starttime,page_starttime,page_endtime,page_duration,actiontime,time,href,entries
7.18,Android,vivo,V2011A,Android 10,vivo,vivo X50 Pro+,CH5005,�,按钮点击,null,07450ade82a1a60e0c3ada55d848feb1,1647507719544,1647507720000,4070880000000,4070880000000,0,1647507742000,1647502942064,mockUrl/eScore.html#/index,"[{""FCP"":""816.300""},{""TTFB"":""1.700""},{""CLS"":""0.016""},{""LCP"":""2037.900""}]"
8.10,iOS,iPhone,iPhone 12 Pro,15.3.1,iPhone,iPhone,CH5005,P6097,按钮点击,P6306,4d7430f47374e5cde9e3572fa0554874,1647391918400,1647487638000,4070880000000,4070880000000,0,1647487827000,1647486556036,mockUrl/eScore.html#/index,"[{""FCP"":""578.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 12,14.8,iPhone,陈义涛 ,CH5005,P02w,按钮点击,P70,29f8fc94ef66d203de93d721fb640475,1647512979635,1647512980000,4070880000000,4070880000000,0,1647513261000,1647513259206,mockUrl/eScore.html#/index,"[{""FCP"":""187.000""},{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 12,14.8,iPhone,陈义涛 ,CH5005,P02w,按钮点击,P70,29f8fc94ef66d203de93d721fb640475,1647512979635,1647512980000,4070880000000,4070880000000,0,1647513263000,1647513261100,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""112.000""}]"
8.10,iOS,iPhone,iPhone 7 Plus,15.3.1,iPhone,iPhone (86),CH5005,P02w,按钮点击,P70,619c74935fbd12efd0589b9fe26a588a,1647506197679,1647506200000,4070880000000,4070880000000,0,1647506314000,1647506308063,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""1152.000""}]"
8.10,iOS,iPhone,iPhone 11,15.3.1,iPhone,iPhone (4),CH5005,P6097,按钮点击,P6306,b013e77bc460026387d0a9d8a99493e3,1647507790811,1647507792000,4070880000000,4070880000000,0,1647507860000,1647507802747,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""256.000""},{""TTFB"":""0.000""}]"
8.08,Android,vivo,V1932A,Android 10,vivo,vivo S5,CH5005,�,按钮点击,null,5d4409f0cb16605f634b6f27e49291bd,1647473363124,1647502951000,4070880000000,4070880000000,0,1647502982000,1647502979867,mockUrl/eScore.html#/index,"[{""FCP"":""863.100""},{""TTFB"":""2.300""},{""LCP"":""1463.900""},{""FID"":""14.600""},{""CLS"":""0.007""}]"
7.18,iOS,iPhone,iPhone 11 Pro Max,14.1,iPhone,iPhone,CH5005,P02w,按钮点击,P70,3959ddabf2abe0ed2ad56f32624822fd,1647485433265,1647504580000,4070880000000,4070880000000,0,1647504702000,1647504697914,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 8 Plus,13.6.1,iPhone,iPhone (4),CH5005,P02w,按钮点击,P70,974fee36ed467b80beec46e70617ade4,1647471793454,1647473961000,4070880000000,4070880000000,0,1647473971000,1647473966174,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 11,15.3.1,iPhone,我的亲爱滴😘,CH5005,P02w,按钮点击,P70,149ad10487645d71bd18f7c3d683bf30,1647482227464,1647482507000,4070880000000,4070880000000,0,1647482526000,1647482519554,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""1321.000""}]"
8.10,iOS,iPhone,iPhone XS,14.7.1,iPhone,蚌埠诗淇的 iPhone (4),CH5005,P02w,按钮点击,P70,9ee1c4cb4e8e640c2cdad9a9f04bb240,1647501761826,1647502074000,4070880000000,4070880000000,0,1647502287000,1647502280914,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""767.000""}]"
8.10,iOS,iPhone,iPhone 7 Plus,13.6,iPhone,xiaojing的 iPhone,CH5005,P6097,按钮点击,P6306,b546cc4a979a9886752de719b3dc2fc6,1647475671681,1647475674000,4070880000000,4070880000000,0,1647475686000,1647393855727,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone XS Max China,15.3.1,iPhone,iPhone,CH5005,P02w,按钮点击,P70,aa9dde2d5189de283a99588a64478ced,1647482940570,1647482941000,4070880000000,4070880000000,0,1647482954000,1647482948435,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""488.000""}]"
