appversion,devicetype,mobile_brand,mobile_model,systemversion,mobile_brand,devicename,lable,pageno,eventtype,prepageno,session_id,applaunchtime,session_starttime,page_starttime,page_endtime,page_duration,actiontime,time,href,entries
8.10,iOS,iPhone,iPhone 12 Pro Max,15.3.1,iPhone,iPhone,CH5005,P02w,按钮点击,P70,636a75c42ab776ffd9ac74c571457c21,1647305606941,1647319069000,4070880000000,4070880000000,0,1647319116000,1647319084577,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""915.000""}]"
8.10,iOS,iPhone,iPhone 8 Plus,14.4,iPhone,iPhone 8P,CH5005,P02w,按钮点击,P70,e0b917746089e51532209e956082eb6f,1647302909736,1647307127000,4070880000000,4070880000000,0,1647307140000,1647306694511,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone 12 Pro,14.4.1,iPhone,孙雨薇的 iPhone,CH5005,P02w,按钮点击,P70,edafffc8a8f9025b5f30d5d9a753130d,1647329699568,1647329700000,4070880000000,4070880000000,0,1647329775000,1647329766326,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.08,Android,vivo,V2046A,Android 11,vivo,vivo X60,CH5005,P02w,按钮点击,P70,2333753873aa6e3154e52af8fef29d92,1647308995336,1647308996000,4070880000000,4070880000000,0,1647309176000,1647309172878,mockUrl/eScore.html#/index,"[{""FCP"":""567.400""},{""TTFB"":""1.900""},{""CLS"":""0.001""},{""LCP"":""1046.000""}]"
8.08,iOS,iPhone,iPhone 11,13.3,iPhone,纪文少的iPhone,CH5005,P02w,按钮点击,P70,63a187893d92f40c82db1487295149b6,1647331881278,1647332182000,4070880000000,4070880000000,0,1647332306000,1647332267727,mockUrl/eScore.html#/index,"[{""TTFB"":""56.000""},{""TTFB"":""0.000""}]"
8.08,iOS,iPhone,iPhone 11,13.3,iPhone,纪文少的iPhone,CH5005,P02w,按钮点击,P70,63a187893d92f40c82db1487295149b6,1647331881278,1647332182000,4070880000000,4070880000000,0,1647332417000,1647332414538,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
8.10,iOS,iPhone,iPhone X,13.6,iPhone,iPhoneX,CH5005,P810999,按钮点击,P60,276167ef71cf18ce4e1db77d4e79ec8a,1647302251810,1647304040000,4070880000000,4070880000000,0,1647304078000,1647304059568,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""}]"
7.18,Android,HUAWEI,RNE-AL00,Android 8.0.0,HUAWEI,MAIMANG 6,CH5005,P02w,按钮点击,P70,a6f5127acb2c89f1be33dc9f48d406bf,1647304530022,1647304533000,4070880000000,4070880000000,0,1647304638000,1647304631364,mockUrl/eScore.html#/index,"[{""TTFB"":""4.200""}]"
8.10,iOS,iPhone,iPhone 7 Plus,15.3.1,iPhone,iPhone (4),CH5005,P02w,按钮点击,P70,ac677d33b88ec63ffb0973a00c5c1d7d,1647306259633,1647310505000,4070880000000,4070880000000,0,1647310506000,1647308427443,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""654.000""}]"
8.10,iOS,iPhone,iPhone 13 Pro Max,15.2.1,iPhone,christy的iPhone,CH5005,P02w,按钮点击,P70,287a335cec34d0100811c7fec36ddbb6,1647304454173,1647304454000,4070880000000,4070880000000,0,1647304517000,1647304511883,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""556.000""}]"
8.10,iOS,iPhone,iPhone 13 Pro Max,15.2.1,iPhone,christy的iPhone,CH5005,P02w,按钮点击,P70,287a335cec34d0100811c7fec36ddbb6,1647304454173,1647304454000,4070880000000,4070880000000,0,1647304520000,1647304516981,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""128.000""}]"
8.10,iOS,iPhone,iPhone 12 Pro Max,15.3.1,iPhone,F,CH5005,P02w,按钮点击,P70,9fd78fe64198777f12260b7f0c2ead9c,1647246167508,1647302660000,4070880000000,4070880000000,0,1647302691000,1647302687322,mockUrl/eScore.html#/index,"[{""FCP"":""895.000""},{""TTFB"":""0.000""}]"
8.08,Android,vivo,vivo X9,Android 7.1.2,vivo,vivo X9,CH5005,P6098,按钮点击,P6307,854d275368454616758fd65cdb0e71ac,1647346753795,1647346756000,4070880000000,4070880000000,0,1647347172000,1647346969546,mockUrl/eScore.html#/index,"[{""TTFB"":""6.000""}]"
8.10,iOS,iPhone,iPhone 6s Plus,12.1.2,iPhone,蜜果儿的 iPhone,CH5005,P02w,按钮点击,P70,a617e5adee9b712d5098984c60f15f41,1647337115400,1647337119000,4070880000000,4070880000000,0,1647337135000,1647337128921,mockUrl/eScore.html#/index,
8.07,iOS,iPhone,iPhone 12 Pro Max,14.7.1,iPhone,iPhone,CH5005,P01666,按钮点击,P00590,0283f73fae99e4970ce3c74dcf2d3eb1,1647310971759,1647310972000,4070880000000,4070880000000,0,1647311207000,1647311127987,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""683.000""},{""TTFB"":""0.000""}]"
8.08,Android,HONOR,YAL-AL00,Android 10,HONOR,HONOR 20,CH5005,�,按钮点击,null,24f50edefe412b2385ef5378ac761e25,1647336192351,1647339295000,4070880000000,4070880000000,0,1647339373000,1647339298456,mockUrl/eScore.html#/index,"[{""FCP"":""658.500""},{""TTFB"":""2.400""},{""LCP"":""1577.100""},{""FID"":""103.300""}]"
8.10,iOS,iPhone,iPhone 11,15.3.1,iPhone,iPhone 11,CH5005,P00590,按钮点击,P60,5eba640812b168d65d2974493299319a,1647307599522,1647307601000,4070880000000,4070880000000,0,1647307606000,1647129939187,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""1350.000""},{""TTFB"":""0.000""}]"
