appversion,devicetype,mobile_brand,mobile_model,systemversion,mobile_brand,devicename,lable,pageno,eventtype,prepageno,session_id,applaunchtime,session_starttime,page_starttime,page_endtime,page_duration,actiontime,time,href,entries
8.10,iOS,iPhone,iPhone XS Max China,15.2,iPhone, “guang”的 iPhone,CH5005,P00903,按钮点击,P6304,cadb8d893ee8aea53fa1342bd1978c8a,1647065825457,1647065826000,4070880000000,4070880000000,0,1647065834000,1647065830841,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""477.000""},{""TTFB"":""0.000""}]"
8.08,Android,HUAWEI,STK-AL00,Android 10,HUAWEI,JTXD,CH5005,P00903,按钮点击,P6304,9c0a8f75392fe5f834e6e1796a2b5e8c,1647044581746,1647048049000,4070880000000,4070880000000,0,1647048107000,1647048101003,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""1641.700""},{""TTFB"":""3.400""},{""CLS"":""0.000""},{""LCP"":""2811.799""}]"
8.08,Android,HUAWEI,STK-AL00,Android 10,HUAWEI,JTXD,CH5005,P01764,按钮点击,P6304,8886f3a0ba916e8ec707a1a305b94262,1647058335018,1647058336000,4070880000000,4070880000000,0,1647058348000,1647048106568,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""522.500""},{""TTFB"":""31.600""},{""LCP"":""1061.700""},{""FID"":""169.200""},{""CLS"":""0.002""}]"
8.09,iOS,iPhone,iPhone X,13.6,iPhone,芜湖海燕的 iPhone,CH5005,P00903,按钮点击,P6304,e81edca48ab6bcd6df6c374a9b01edd9,1647048327441,1647048329000,4070880000000,4070880000000,0,1647048815000,1647048711724,mockUrl/anniversary.html#/anniversary,"[{""TTFB"":""0.000""}]"
8.09,iOS,iPhone,iPhone X,13.6,iPhone,芜湖海燕的 iPhone,CH5005,P00903,按钮点击,P6304,a611d29cc9698e8cd4a678b072c2386f,1647048327441,1647049099000,4070880000000,4070880000000,0,1647049104000,1647048815160,mockUrl/anniversary.html#/anniversary,"[{""TTFB"":""0.000""}]"
8.09,iOS,iPhone,iPhone X,13.6,iPhone,芜湖海燕的 iPhone,CH5005,P00903,按钮点击,P6304,e907a0c6d30c06ce5e197f049c4cc1ea,1647049942041,1647049944000,4070880000000,4070880000000,0,1647049964000,1647049104192,mockUrl/anniversary.html#/anniversary,"[{""TTFB"":""0.000""}]"
7.18,iOS,iPhone,iPhone 12 Pro Max,15.3.1,iPhone,iPhone的王艳,CH5005,P02w,按钮点击,P70,a13a611262dd4c223c71af2c91196c54,1647068045953,1647068046000,4070880000000,4070880000000,0,1647068223000,1647068079827,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""157.000""}]"
7.18,iOS,iPhone,iPhone 12 Pro Max,15.3.1,iPhone,iPhone的王艳,CH5005,P00569,按钮点击,P70,a13a611262dd4c223c71af2c91196c54,1647068045953,1647068046000,4070880000000,4070880000000,0,1647068235000,1647068223492,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""136.000""}]"
8.10,iOS,iPhone,iPhone XS Max China,15.3.1,iPhone,21,CH5005,P02w,按钮点击,P70,c6a9636a294799002f796ce9ccdaadaf,1647047570095,1647047571000,4070880000000,4070880000000,0,1647047616000,1647047605371,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""493.000""}]"
8.10,iOS,iPhone,iPhone XS Max China,15.3.1,iPhone,21,CH5005,P02w,按钮点击,P70,c6a9636a294799002f796ce9ccdaadaf,1647047570095,1647047571000,4070880000000,4070880000000,0,1647047783000,1647047746823,mockUrl/eScore.html#/index,"[{""FCP"":""170.000""},{""TTFB"":""0.000""}]"
8.08,Android,HUAWEI,HWI-AL00,Android 9,HUAWEI,HUAWEI nova 2s,CH5005,P02w,按钮点击,P70,2c57900fff390bbbd3487192de41e25b,1647051889721,1647051890000,4070880000000,4070880000000,0,1647051930000,1647051913137,mockUrl/eScore.html#/index,"[{""FCP"":""1545.000""},{""TTFB"":""2.700""},{""CLS"":""0.001""},{""LCP"":""2790.900""}]"
8.10,iOS,iPhone,iPhone XS,14.8.1,iPhone,iPhone,CH5005,P02w,按钮点击,P70,055cfb78f9e85e840594432f2217c812,1647036420173,1647040388000,4070880000000,4070880000000,0,1647040421000,1647040402890,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""8290.000""}]"
8.10,iOS,iPhone,iPhone 13 Pro,15.3.1,iPhone,iPhone 13 Pro,CH5005,P02w,按钮点击,P70,ea0837dcef5e4cf99c06e017374ebe8f,1647075913920,1647081100000,4070880000000,4070880000000,0,1647081112000,1647081109313,mockUrl/eScore.html#/index,"[{""TTFB"":""0.000""},{""FCP"":""3136.000""}]"
8.10,iOS,iPhone,iPhone 13,15.3.1,iPhone,iPhone 13,CH5005,P6097,按钮点击,P6306,eb8381229ac47afb21552b3cac341099,1647063782685,1647064126000,4070880000000,4070880000000,0,1647064139000,1647063805632,mockUrl/anniversary.html#/anniversary,"[{""FCP"":""82.000""},{""TTFB"":""0.000""}]"
